# Time(fs) Population Fitted_Population
6.240000000000000000e+02 2.063999999999999516e-02 1.015842475676546029e-02
6.250000000000000000e+02 2.179599999999999593e-02 1.008670311713289088e-02
6.260000000000000000e+02 2.159199999999999314e-02 1.001548785459270390e-02
6.270000000000000000e+02 2.189200000000000174e-02 9.944775393965078758e-03
6.280000000000000000e+02 2.348999999999999005e-02 9.874562185312046880e-03
6.290000000000000000e+02 2.346599999999999728e-02 9.804844703759333854e-03
6.300000000000000000e+02 2.353799999999999643e-02 9.735619449319367347e-03
6.310000000000000000e+02 2.354999999999999455e-02 9.666882946715561753e-03
6.320000000000000000e+02 2.419200000000000170e-02 9.598631745207884813e-03
6.330000000000000000e+02 2.488800000000000040e-02 9.530862418419583024e-03
6.340000000000000000e+02 2.396000000000000213e-02 9.463571564165213293e-03
6.350000000000000000e+02 2.326800000000000049e-02 9.396755804279791763e-03
6.360000000000000000e+02 2.390400000000000164e-02 9.330411784449252344e-03
6.370000000000000000e+02 2.394600000000000201e-02 9.264536174042032821e-03
6.380000000000000000e+02 2.340199999999999919e-02 9.199125665941837102e-03
6.390000000000000000e+02 2.346999999999999434e-02 9.134176976381679428e-03
6.400000000000000000e+02 2.326600000000000543e-02 9.069686844778948598e-03
6.410000000000000000e+02 2.358600000000000627e-02 9.005652033571794057e-03
6.420000000000000000e+02 2.334999999999999923e-02 8.942069328056552815e-03
6.430000000000000000e+02 2.370799999999999991e-02 8.878935536226352510e-03
6.440000000000000000e+02 2.430400000000000268e-02 8.816247488610906222e-03
6.450000000000000000e+02 2.361400000000000651e-02 8.754002038117349865e-03
6.460000000000000000e+02 2.403000000000000622e-02 8.692196059872292144e-03
6.470000000000000000e+02 2.355000000000000843e-02 8.630826451064922689e-03
6.480000000000000000e+02 2.332800000000000151e-02 8.569890130791216545e-03
6.490000000000000000e+02 2.351000000000000312e-02 8.509384039899321739e-03
6.500000000000000000e+02 2.343400000000000344e-02 8.449305140835923489e-03
6.510000000000000000e+02 2.327399999999999955e-02 8.389650417493788037e-03
6.520000000000000000e+02 2.269200000000000036e-02 8.330416875060354248e-03
6.530000000000000000e+02 2.170399999999999760e-02 8.271601539867334818e-03
6.540000000000000000e+02 2.066799999999999887e-02 8.213201459241502300e-03
6.550000000000000000e+02 2.007799999999999863e-02 8.155213701356385861e-03
6.560000000000000000e+02 2.032600000000000379e-02 8.097635355085149381e-03
6.570000000000000000e+02 1.962800000000000308e-02 8.040463529854414981e-03
6.580000000000000000e+02 1.949400000000000091e-02 7.983695355499130855e-03
6.590000000000000000e+02 1.910799999999999998e-02 7.927327982118530236e-03
6.600000000000000000e+02 1.887800000000000242e-02 7.871358579933011509e-03
6.610000000000000000e+02 1.881999999999999992e-02 7.815784339142107726e-03
6.620000000000000000e+02 1.742600000000000399e-02 7.760602469783426695e-03
6.630000000000000000e+02 1.761200000000000265e-02 7.705810201592554719e-03
6.640000000000000000e+02 1.651000000000000037e-02 7.651404783864031514e-03
6.650000000000000000e+02 1.585399999999999657e-02 7.597383485313209846e-03
6.660000000000000000e+02 1.578999999999999848e-02 7.543743593939182882e-03
6.670000000000000000e+02 1.816600000000000159e-02 7.490482416888610134e-03
6.680000000000000000e+02 1.844399999999999512e-02 7.437597280320517451e-03
6.690000000000000000e+02 1.816599999999999812e-02 7.385085529272101407e-03
6.700000000000000000e+02 1.797199999999999492e-02 7.332944527525402795e-03
6.710000000000000000e+02 1.787399999999999406e-02 7.281171657474995798e-03
6.720000000000000000e+02 1.926599999999999493e-02 7.229764319996563604e-03
6.730000000000000000e+02 1.879600000000000021e-02 7.178719934316400361e-03
6.740000000000000000e+02 2.188399999999999720e-02 7.128035937881887184e-03
6.750000000000000000e+02 2.418999999999999276e-02 7.077709786232798221e-03
6.760000000000000000e+02 2.307599999999999582e-02 7.027738952873612867e-03
6.770000000000000000e+02 2.281599999999999948e-02 6.978120929146649359e-03
6.780000000000000000e+02 2.280799999999999841e-02 6.928853224106112582e-03
6.790000000000000000e+02 2.264400000000000093e-02 6.879933364393085553e-03
6.800000000000000000e+02 2.259799999999999656e-02 6.831358894111311079e-03
6.810000000000000000e+02 2.281599999999999948e-02 6.783127374703945729e-03
6.820000000000000000e+02 2.259599999999999803e-02 6.735236384831093555e-03
6.830000000000000000e+02 2.240399999999999683e-02 6.687683520248288715e-03
6.840000000000000000e+02 2.221399999999999764e-02 6.640466393685780407e-03
6.850000000000000000e+02 2.209800000000000306e-02 6.593582634728665202e-03
6.860000000000000000e+02 2.223199999999999829e-02 6.547029889697934465e-03
6.870000000000000000e+02 2.195800000000000182e-02 6.500805821532257278e-03
6.880000000000000000e+02 2.173599999999999491e-02 6.454908109670702727e-03
6.890000000000000000e+02 2.175199999999999356e-02 6.409334449936222866e-03
6.900000000000000000e+02 2.143399999999999819e-02 6.364082554419957932e-03
6.910000000000000000e+02 2.140000000000000235e-02 6.319150151366420207e-03
6.920000000000000000e+02 2.172200000000000172e-02 6.274534985059398648e-03
6.930000000000000000e+02 2.336600000000000135e-02 6.230234815708760379e-03
6.940000000000000000e+02 2.711200000000000415e-02 6.186247419337984228e-03
6.950000000000000000e+02 2.614000000000000698e-02 6.142570587672500915e-03
6.960000000000000000e+02 2.562600000000000641e-02 6.099202128028867638e-03
6.970000000000000000e+02 2.539000000000000631e-02 6.056139863204648699e-03
6.980000000000000000e+02 2.506800000000000000e-02 6.013381631369149605e-03
6.990000000000000000e+02 2.512000000000000344e-02 5.970925285954873686e-03
7.000000000000000000e+02 2.538600000000000231e-02 5.928768695549742861e-03
7.010000000000000000e+02 2.461400000000000393e-02 5.886909743790133716e-03
7.020000000000000000e+02 2.668599999999999792e-02 5.845346329254584930e-03
7.030000000000000000e+02 2.638999999999999679e-02 5.804076365358341698e-03
7.040000000000000000e+02 2.546400000000000746e-02 5.763097780248588840e-03
7.050000000000000000e+02 2.555000000000000673e-02 5.722408516700416836e-03
7.060000000000000000e+02 2.551000000000000142e-02 5.682006532013589295e-03
7.070000000000000000e+02 2.501599999999999657e-02 5.641889797909946207e-03
7.080000000000000000e+02 2.507799999999999613e-02 5.602056300431616440e-03
7.090000000000000000e+02 2.557599999999999457e-02 5.562504039839901576e-03
7.100000000000000000e+02 2.573199999999999099e-02 5.523231030514862312e-03
7.110000000000000000e+02 2.539199999999999097e-02 5.484235300855676808e-03
7.120000000000000000e+02 2.567599999999999050e-02 5.445514893181615731e-03
7.130000000000000000e+02 2.481799999999999284e-02 5.407067863633802270e-03
7.140000000000000000e+02 2.597799999999999415e-02 5.368892282077605306e-03
7.150000000000000000e+02 3.058600000000000207e-02 5.330986232005733433e-03
7.160000000000000000e+02 3.076999999999999527e-02 5.293347810442049738e-03
7.170000000000000000e+02 3.130199999999998955e-02 5.255975127846003285e-03
7.180000000000000000e+02 3.095999999999999100e-02 5.218866308017800458e-03
7.190000000000000000e+02 3.024199999999999458e-02 5.182019488004202534e-03
7.200000000000000000e+02 2.942599999999999383e-02 5.145432818004987661e-03
7.210000000000000000e+02 2.823599999999999027e-02 5.109104461280116263e-03
7.220000000000000000e+02 3.082599999999999230e-02 5.073032594057485384e-03
7.230000000000000000e+02 3.073999999999999302e-02 5.037215405441410748e-03
7.240000000000000000e+02 3.069799999999998918e-02 5.001651097321677814e-03
7.250000000000000000e+02 3.040799999999999059e-02 4.966337884283299718e-03
7.260000000000000000e+02 3.005799999999999791e-02 4.931273993516877181e-03
7.270000000000000000e+02 2.964999999999999927e-02 4.896457664729585504e-03
7.280000000000000000e+02 2.944000000000000089e-02 4.861887150056827707e-03
7.290000000000000000e+02 2.928000000000000047e-02 4.827560713974460987e-03
7.300000000000000000e+02 2.870599999999999888e-02 4.793476633211696258e-03
7.310000000000000000e+02 2.818999999999998937e-02 4.759633196664570139e-03
7.320000000000000000e+02 2.798199999999999646e-02 4.726028705310034508e-03
7.330000000000000000e+02 3.052799999999999611e-02 4.692661472120687911e-03
7.340000000000000000e+02 3.013199999999999906e-02 4.659529821980052527e-03
7.350000000000000000e+02 3.249800000000000605e-02 4.626632091598506004e-03
7.360000000000000000e+02 3.227000000000000701e-02 4.593966629429766663e-03
7.370000000000000000e+02 3.162200000000000427e-02 4.561531795587972851e-03
7.380000000000000000e+02 3.236799999999999400e-02 4.529325961765384191e-03
7.390000000000000000e+02 3.225399999999999795e-02 4.497347511150600642e-03
7.400000000000000000e+02 3.297199999999999437e-02 4.465594838347429485e-03
7.410000000000000000e+02 3.275199999999999639e-02 4.434066349294270119e-03
7.420000000000000000e+02 3.214000000000000884e-02 4.402760461184086066e-03
7.430000000000000000e+02 3.163600000000000440e-02 4.371675602384964172e-03
7.440000000000000000e+02 3.128000000000000225e-02 4.340810212361183827e-03
7.450000000000000000e+02 2.916600000000000442e-02 4.310162741594908073e-03
7.460000000000000000e+02 2.863399999999999973e-02 4.279731651508376054e-03
7.470000000000000000e+02 2.816999999999998672e-02 4.249515414386651445e-03
7.480000000000000000e+02 2.774999999999999342e-02 4.219512513300958945e-03
7.490000000000000000e+02 2.695199999999999679e-02 4.189721442032495226e-03
7.500000000000000000e+02 2.659599999999998771e-02 4.160140704996842693e-03
7.510000000000000000e+02 2.992799999999999974e-02 4.130768817168875909e-03
7.520000000000000000e+02 2.984599999999999753e-02 4.101604304008194500e-03
7.530000000000000000e+02 2.942000000000000171e-02 4.072645701385130268e-03
7.540000000000000000e+02 2.919400000000000467e-02 4.043891555507210522e-03
7.550000000000000000e+02 3.041199999999999459e-02 4.015340422846199082e-03
7.560000000000000000e+02 2.980199999999999169e-02 3.986990870065619530e-03
7.570000000000000000e+02 2.944599999999999301e-02 3.958841473948787604e-03
7.580000000000000000e+02 2.950799999999999604e-02 3.930890821327383960e-03
7.590000000000000000e+02 3.078600000000000780e-02 3.903137509010483168e-03
7.600000000000000000e+02 2.998399999999999677e-02 3.875580143714135208e-03
7.610000000000000000e+02 2.925600000000000075e-02 3.848217341991409281e-03
7.620000000000000000e+02 2.876599999999999990e-02 3.821047730162928976e-03
7.630000000000000000e+02 2.984399999999999900e-02 3.794069944247935224e-03
7.640000000000000000e+02 2.917599999999999361e-02 3.767282629895784673e-03
7.650000000000000000e+02 2.909999999999999740e-02 3.740684442317984519e-03
7.660000000000000000e+02 2.855999999999999511e-02 3.714274046220652353e-03
7.670000000000000000e+02 2.741999999999998952e-02 3.688050115737507694e-03
7.680000000000000000e+02 2.715799999999999811e-02 3.662011334363297638e-03
7.690000000000000000e+02 2.698399999999999410e-02 3.636156394887696524e-03
7.700000000000000000e+02 2.690199999999999883e-02 3.610483999329703025e-03
7.710000000000000000e+02 2.657800000000000440e-02 3.584992858872453145e-03
7.720000000000000000e+02 2.648800000000000113e-02 3.559681693798540190e-03
7.730000000000000000e+02 2.636000000000000495e-02 3.534549233425760602e-03
7.740000000000000000e+02 2.644800000000000970e-02 3.509594216043313442e-03
7.750000000000000000e+02 2.594600000000000725e-02 3.484815388848479939e-03
7.760000000000000000e+02 2.531000000000000263e-02 3.460211507883708109e-03
7.770000000000000000e+02 2.190400000000000333e-02 3.435781337974180057e-03
7.780000000000000000e+02 2.190599999999999145e-02 3.411523652665799083e-03
7.790000000000000000e+02 2.374599999999999628e-02 3.387437234163603525e-03
7.800000000000000000e+02 2.316999999999998922e-02 3.363520873270658962e-03
7.810000000000000000e+02 2.447599999999999082e-02 3.339773369327322938e-03
7.820000000000000000e+02 2.516999999999999099e-02 3.316193530150993683e-03
7.830000000000000000e+02 2.480599999999999472e-02 3.292780171976248706e-03
7.840000000000000000e+02 2.263799999999999493e-02 3.269532119395409699e-03
7.850000000000000000e+02 2.119399999999999409e-02 3.246448205299554569e-03
7.860000000000000000e+02 2.089799999999998950e-02 3.223527270819899395e-03
7.870000000000000000e+02 2.074199999999999308e-02 3.200768165269646161e-03
7.880000000000000000e+02 2.005399999999999544e-02 3.178169746086201720e-03
7.890000000000000000e+02 1.934999999999999221e-02 3.155730878773812219e-03
7.900000000000000000e+02 2.153199999999999559e-02 3.133450436846627746e-03
7.910000000000000000e+02 2.173799999999999344e-02 3.111327301772128656e-03
7.920000000000000000e+02 2.445599999999999163e-02 3.089360362914990790e-03
7.930000000000000000e+02 2.424399999999999472e-02 3.067548517481321485e-03
7.940000000000000000e+02 2.404599999999999099e-02 3.045890670463286768e-03
7.950000000000000000e+02 2.228399999999998785e-02 3.024385734584160521e-03
7.960000000000000000e+02 2.208399999999999253e-02 3.003032630243717121e-03
7.970000000000000000e+02 2.328599999999999420e-02 2.981830285464053855e-03
7.980000000000000000e+02 2.323599999999999277e-02 2.960777635835763321e-03
7.990000000000000000e+02 2.346799999999999234e-02 2.939873624464494403e-03
