# Time(fs) Normalized_Population Fitted_Population
9.100000000000000000e+01 4.259361702127659188e-01 4.849619899790420519e-01
9.200000000000000000e+01 4.256553191489362287e-01 4.811205858329646312e-01
9.300000000000000000e+01 4.174106382978722829e-01 4.773096096093190632e-01
9.400000000000000000e+01 4.143936170212766390e-01 4.735288202872629526e-01
9.500000000000000000e+01 4.118276595744681523e-01 4.697779787550899755e-01
9.600000000000000000e+01 4.063234042553192649e-01 4.660568477951075872e-01
9.700000000000000000e+01 3.913212765957445605e-01 4.623651920686345229e-01
9.800000000000000000e+01 3.936063829787234680e-01 4.587027781011169814e-01
9.900000000000000000e+01 3.935936170212765983e-01 4.550693742673628805e-01
1.000000000000000000e+02 3.949361702127660023e-01 4.514647507768929091e-01
1.010000000000000000e+02 3.944106382978723735e-01 4.478886796594077624e-01
1.020000000000000000e+02 3.840638297872343010e-01 4.443409347503703422e-01
1.030000000000000000e+02 3.743425531914894022e-01 4.408212916767023093e-01
1.040000000000000000e+02 3.734978723404255296e-01 4.373295278425938237e-01
1.050000000000000000e+02 3.725212765957447436e-01 4.338654224154258054e-01
1.060000000000000000e+02 3.599340425531915022e-01 4.304287563118033288e-01
1.070000000000000000e+02 3.579978723404255714e-01 4.270193121837004835e-01
1.080000000000000000e+02 3.519255319148936745e-01 4.236368744047139256e-01
1.090000000000000000e+02 3.516595744680851565e-01 4.202812290564261755e-01
1.100000000000000000e+02 3.551468085106383454e-01 4.169521639148763281e-01
1.110000000000000000e+02 3.543638297872340748e-01 4.136494684371384012e-01
1.120000000000000000e+02 3.513595744680852451e-01 4.103729337480057082e-01
1.130000000000000000e+02 3.513021276595746922e-01 4.071223526267807591e-01
1.140000000000000000e+02 3.523191489361702788e-01 4.038975194941699098e-01
1.150000000000000000e+02 3.513446808510637398e-01 4.006982303992815408e-01
1.160000000000000000e+02 3.549531914893616635e-01 3.975242830067277078e-01
1.170000000000000000e+02 3.549255319148935661e-01 3.943754765838274334e-01
1.180000000000000000e+02 3.572468085106382252e-01 3.912516119879116960e-01
1.190000000000000000e+02 3.416680851063830793e-01 3.881524916537287817e-01
1.200000000000000000e+02 3.417723404255320618e-01 3.850779195809497235e-01
1.210000000000000000e+02 3.404085106382979675e-01 3.820277013217722173e-01
1.220000000000000000e+02 3.425404255319148827e-01 3.790016439686231808e-01
1.230000000000000000e+02 3.382446808510637948e-01 3.759995561419583465e-01
1.240000000000000000e+02 3.370148936170213605e-01 3.730212479781588875e-01
1.250000000000000000e+02 3.366361702127659283e-01 3.700665311175236893e-01
1.260000000000000000e+02 3.276914893617020597e-01 3.671352186923564909e-01
1.270000000000000000e+02 3.255617021276595580e-01 3.642271253151481147e-01
1.280000000000000000e+02 3.250531914893616814e-01 3.613420670668512913e-01
1.290000000000000000e+02 3.228744680851063920e-01 3.584798614852493515e-01
1.300000000000000000e+02 3.228702127659572874e-01 3.556403275534164576e-01
1.310000000000000000e+02 3.171553191489361323e-01 3.528232856882693169e-01
1.320000000000000000e+02 3.127276595744681864e-01 3.500285577292097661e-01
1.330000000000000000e+02 3.122574468085105859e-01 3.472559669268572291e-01
1.340000000000000000e+02 3.193553191489362231e-01 3.445053379318701037e-01
1.350000000000000000e+02 3.230127659574468235e-01 3.417764967838566870e-01
1.360000000000000000e+02 3.249531914893616924e-01 3.390692709003723659e-01
1.370000000000000000e+02 3.306361702127660340e-01 3.363834890660054588e-01
1.380000000000000000e+02 3.309148936170214217e-01 3.337189814215486550e-01
1.390000000000000000e+02 3.334425531914894103e-01 3.310755794532564966e-01
1.400000000000000000e+02 3.406361702127658209e-01 3.284531159821880153e-01
1.410000000000000000e+02 3.462978723404254167e-01 3.258514251536334672e-01
1.420000000000000000e+02 3.437276595744679919e-01 3.232703424266253345e-01
1.430000000000000000e+02 3.475446808510637142e-01 3.207097045635317611e-01
1.440000000000000000e+02 3.466808510638297314e-01 3.181693496197332549e-01
1.450000000000000000e+02 3.466297872340424746e-01 3.156491169333801583e-01
1.460000000000000000e+02 3.516851063829787849e-01 3.131488471152322206e-01
1.470000000000000000e+02 3.531829787234040396e-01 3.106683820385778838e-01
1.480000000000000000e+02 3.510851063829788510e-01 3.082075648292338377e-01
1.490000000000000000e+02 3.474765957446810383e-01 3.057662398556237893e-01
1.500000000000000000e+02 3.381531914893616819e-01 3.033442527189357252e-01
1.510000000000000000e+02 3.284638297872340962e-01 3.009414502433568894e-01
1.520000000000000000e+02 3.278042553191490849e-01 2.985576804663865880e-01
1.530000000000000000e+02 3.277702127659577469e-01 2.961927926292255431e-01
1.540000000000000000e+02 3.201936170212767441e-01 2.938466371672411315e-01
1.550000000000000000e+02 3.110446808510640704e-01 2.915190657005083952e-01
1.560000000000000000e+02 3.112148936170212599e-01 2.892099310244259924e-01
1.570000000000000000e+02 3.135978723404255208e-01 2.869190871004062560e-01
1.580000000000000000e+02 3.135255319148936848e-01 2.846463890466394697e-01
1.590000000000000000e+02 3.192957446808510902e-01 2.823916931289305321e-01
1.600000000000000000e+02 3.158191489361702464e-01 2.801548567516090604e-01
1.610000000000000000e+02 3.049468085106383231e-01 2.779357384485109939e-01
1.620000000000000000e+02 3.035829787234043953e-01 2.757341978740314725e-01
1.630000000000000000e+02 3.012914893617021916e-01 2.735500957942490485e-01
1.640000000000000000e+02 3.002765957446808520e-01 2.713832940781201186e-01
1.650000000000000000e+02 2.999127659574468141e-01 2.692336556887426346e-01
1.660000000000000000e+02 2.998489361702126876e-01 2.671010446746897027e-01
1.670000000000000000e+02 2.898382978723403891e-01 2.649853261614114053e-01
1.680000000000000000e+02 2.862276595744680519e-01 2.628863663427045139e-01
1.690000000000000000e+02 2.817574468085105588e-01 2.608040324722505354e-01
1.700000000000000000e+02 2.810000000000000830e-01 2.587381928552201504e-01
1.710000000000000000e+02 2.657191489361702685e-01 2.566887168399439867e-01
1.720000000000000000e+02 2.681170212765957572e-01 2.546554748096503396e-01
1.730000000000000000e+02 2.677446808510638432e-01 2.526383381742670076e-01
1.740000000000000000e+02 2.685574468085105138e-01 2.506371793622894639e-01
1.750000000000000000e+02 2.684978723404254919e-01 2.486518718127120886e-01
1.760000000000000000e+02 2.662744680851063528e-01 2.466822899670244595e-01
1.770000000000000000e+02 2.654872340425531996e-01 2.447283092612702882e-01
1.780000000000000000e+02 2.662425531914892618e-01 2.427898061181694989e-01
1.790000000000000000e+02 2.631872340425531753e-01 2.408666579393029805e-01
1.800000000000000000e+02 2.622340425531915487e-01 2.389587430973587057e-01
1.810000000000000000e+02 2.613978723404254967e-01 2.370659409284396058e-01
1.820000000000000000e+02 2.562510638297872401e-01 2.351881317244325087e-01
1.830000000000000000e+02 2.566510638297871405e-01 2.333251967254370562e-01
1.840000000000000000e+02 2.526595744680851796e-01 2.314770181122551007e-01
1.850000000000000000e+02 2.532872340425532665e-01 2.296434789989392489e-01
1.860000000000000000e+02 2.551787234042554031e-01 2.278244634254005530e-01
1.870000000000000000e+02 2.474595744680852250e-01 2.260198563500748770e-01
1.880000000000000000e+02 2.476319148936170500e-01 2.242295436426469668e-01
1.890000000000000000e+02 2.460234042553192113e-01 2.224534120768326406e-01
1.900000000000000000e+02 2.512851063829787956e-01 2.206913493232177670e-01
1.910000000000000000e+02 2.535021276595745277e-01 2.189432439421542531e-01
1.920000000000000000e+02 2.485659574468085664e-01 2.172089853767120993e-01
1.930000000000000000e+02 2.528234042553192951e-01 2.154884639456872975e-01
1.940000000000000000e+02 2.486978723404256464e-01 2.137815708366652967e-01
1.950000000000000000e+02 2.519872340425532431e-01 2.120881980991391746e-01
1.960000000000000000e+02 2.426468085106382733e-01 2.104082386376825431e-01
1.970000000000000000e+02 2.428063829787234229e-01 2.087415862051762994e-01
1.980000000000000000e+02 2.421893617021277367e-01 2.070881353960891957e-01
1.990000000000000000e+02 2.427446808510639042e-01 2.054477816398115886e-01
2.000000000000000000e+02 2.400872340425531382e-01 2.038204211940420341e-01
2.010000000000000000e+02 2.411127659574468507e-01 2.022059511382261754e-01
2.020000000000000000e+02 2.365340425531914925e-01 2.006042693670475885e-01
2.030000000000000000e+02 2.363510638297872113e-01 1.990152745839704196e-01
2.040000000000000000e+02 2.393957446808511191e-01 1.974388662948328710e-01
2.050000000000000000e+02 2.372829787234042032e-01 1.958749448014915628e-01
2.060000000000000000e+02 2.365595744680850654e-01 1.943234111955162435e-01
2.070000000000000000e+02 2.330574468085106488e-01 1.927841673519345711e-01
2.080000000000000000e+02 2.370936170212765703e-01 1.912571159230260776e-01
2.090000000000000000e+02 2.362234042553191249e-01 1.897421603321657047e-01
2.100000000000000000e+02 2.358106382978724380e-01 1.882392047677158564e-01
2.110000000000000000e+02 2.334446808510638460e-01 1.867481541769669406e-01
2.120000000000000000e+02 2.332553191489361577e-01 1.852689142601257610e-01
2.130000000000000000e+02 2.297638297872340585e-01 1.838013914643518709e-01
2.140000000000000000e+02 2.201255319148935907e-01 1.823454929778406397e-01
2.150000000000000000e+02 2.159829787234042453e-01 1.809011267239536425e-01
2.160000000000000000e+02 2.157085106382979067e-01 1.794682013553953737e-01
2.170000000000000000e+02 2.108042553191489532e-01 1.780466262484360351e-01
2.180000000000000000e+02 2.075914893617021861e-01 1.766363114971801762e-01
2.190000000000000000e+02 2.044893617021276422e-01 1.752371679078806865e-01
2.200000000000000000e+02 2.055957446808511224e-01 1.738491069932978916e-01
2.210000000000000000e+02 2.057212765957447120e-01 1.724720409671031685e-01
2.220000000000000000e+02 1.992127659574468579e-01 1.711058827383271363e-01
2.230000000000000000e+02 1.999042553191489324e-01 1.697505459058515631e-01
2.240000000000000000e+02 2.032446808510638137e-01 1.684059447529450693e-01
2.250000000000000000e+02 1.961957446808510197e-01 1.670719942418421033e-01
2.260000000000000000e+02 2.004382978723404374e-01 1.657486100083648273e-01
2.270000000000000000e+02 1.975702127659574314e-01 1.644357083565874955e-01
2.280000000000000000e+02 1.995829787234042474e-01 1.631332062535433558e-01
2.290000000000000000e+02 1.962595744680850907e-01 1.618410213239731832e-01
2.300000000000000000e+02 1.963553191489361416e-01 1.605590718451156973e-01
2.310000000000000000e+02 1.933170212765957241e-01 1.592872767415389745e-01
2.320000000000000000e+02 1.928127659574468689e-01 1.580255555800129386e-01
2.330000000000000000e+02 1.923723404255319180e-01 1.567738285644225404e-01
2.340000000000000000e+02 1.887148936170213454e-01 1.555320165307210456e-01
2.350000000000000000e+02 1.888531914893617214e-01 1.543000409419234276e-01
2.360000000000000000e+02 1.874297872340425219e-01 1.530778238831394245e-01
2.370000000000000000e+02 1.867851063829787384e-01 1.518652880566458419e-01
2.380000000000000000e+02 1.873404255319149059e-01 1.506623567769979910e-01
2.390000000000000000e+02 1.841808510638297536e-01 1.494689539661798461e-01
2.400000000000000000e+02 1.868085106382977312e-01 1.482850041487923931e-01
2.410000000000000000e+02 1.886553191489361569e-01 1.471104324472805036e-01
2.420000000000000000e+02 1.855255319148935989e-01 1.459451645771972228e-01
2.430000000000000000e+02 1.829999999999999960e-01 1.447891268425058331e-01
2.440000000000000000e+02 1.858085106382978691e-01 1.436422461309189991e-01
2.450000000000000000e+02 1.807361702127660563e-01 1.425044499092748274e-01
2.460000000000000000e+02 1.810872340425532245e-01 1.413756662189496749e-01
2.470000000000000000e+02 1.789063829787234106e-01 1.402558236713070949e-01
2.480000000000000000e+02 1.788936170212765686e-01 1.391448514431831152e-01
2.490000000000000000e+02 1.780106382978723367e-01 1.380426792724068485e-01
2.500000000000000000e+02 1.742893617021276931e-01 1.369492374533571311e-01
2.510000000000000000e+02 1.729297872340425646e-01 1.358644568325538260e-01
2.520000000000000000e+02 1.722914893617021881e-01 1.347882688042844335e-01
2.530000000000000000e+02 1.714106382978723975e-01 1.337206053062652278e-01
2.540000000000000000e+02 1.658021276595744997e-01 1.326613988153365897e-01
2.550000000000000000e+02 1.626382978723404926e-01 1.316105823431927002e-01
2.560000000000000000e+02 1.540063829787234884e-01 1.305680894321448460e-01
2.570000000000000000e+02 1.528702127659574694e-01 1.295338541509185315e-01
2.580000000000000000e+02 1.521978723404255052e-01 1.285078110904835647e-01
2.590000000000000000e+02 1.510574468085105759e-01 1.274898953599174489e-01
2.600000000000000000e+02 1.465659574468085036e-01 1.264800425823013330e-01
2.610000000000000000e+02 1.470170212765957440e-01 1.254781888906487397e-01
2.620000000000000000e+02 1.455680851063829995e-01 1.244842709238661027e-01
2.630000000000000000e+02 1.485893617021277480e-01 1.234982258227458468e-01
2.640000000000000000e+02 1.474148936170213420e-01 1.225199912259907348e-01
2.650000000000000000e+02 1.472936170212766349e-01 1.215495052662699943e-01
2.660000000000000000e+02 1.469936170212765569e-01 1.205867065663065452e-01
2.670000000000000000e+02 1.458510638297872142e-01 1.196315342349952848e-01
2.680000000000000000e+02 1.486659574468084943e-01 1.186839278635520301e-01
2.690000000000000000e+02 1.478319148936169947e-01 1.177438275216932673e-01
2.700000000000000000e+02 1.412574468085106283e-01 1.168111737538456013e-01
2.710000000000000000e+02 1.406361702127659763e-01 1.158859075753857493e-01
2.720000000000000000e+02 1.402638297872340623e-01 1.149679704689100940e-01
2.730000000000000000e+02 1.381276595744680702e-01 1.140573043805338388e-01
2.740000000000000000e+02 1.371148936170212829e-01 1.131538517162194030e-01
2.750000000000000000e+02 1.366553191489361940e-01 1.122575553381339741e-01
2.760000000000000000e+02 1.338404255319149139e-01 1.113683585610359267e-01
2.770000000000000000e+02 1.329127659574467768e-01 1.104862051486897589e-01
2.780000000000000000e+02 1.315191489361701993e-01 1.096110393103095493e-01
2.790000000000000000e+02 1.299276595744680574e-01 1.087428056970305562e-01
2.800000000000000000e+02 1.265255319148936020e-01 1.078814493984086437e-01
2.810000000000000000e+02 1.264468085106383033e-01 1.070269159389476282e-01
2.820000000000000000e+02 1.286723404255319392e-01 1.061791512746539934e-01
2.830000000000000000e+02 1.267617021276595812e-01 1.053381017896189570e-01
2.840000000000000000e+02 1.295510638297872053e-01 1.045037142926275864e-01
2.850000000000000000e+02 1.283531914893616677e-01 1.036759360137947256e-01
2.860000000000000000e+02 1.272170212765957042e-01 1.028547146012278035e-01
2.870000000000000000e+02 1.264042553191489227e-01 1.020399981177156773e-01
2.880000000000000000e+02 1.280893617021276465e-01 1.012317350374440372e-01
2.890000000000000000e+02 1.227000000000000313e-01 1.004298742427366942e-01
2.900000000000000000e+02 1.222361702127660044e-01 9.963436502082272106e-02
2.910000000000000000e+02 1.245212765957447315e-01 9.884515706062912965e-02
2.920000000000000000e+02 1.292531914893617073e-01 9.806220044959909621e-02
2.930000000000000000e+02 1.294148936170212705e-01 9.728544567053518111e-02
2.940000000000000000e+02 1.285680851063829844e-01 9.651484359846777827e-02
2.950000000000000000e+02 1.286638297872340353e-01 9.575034549754816993e-02
2.960000000000000000e+02 1.302723404255319017e-01 9.499190301796636704e-02
2.970000000000000000e+02 1.325212765957446692e-01 9.423946819289323595e-02
2.980000000000000000e+02 1.326574468085106595e-01 9.349299343544686947e-02
2.990000000000000000e+02 1.347936170212766516e-01 9.275243153568306365e-02
3.000000000000000000e+02 1.365978723404255579e-01 9.201773565760953955e-02
3.010000000000000000e+02 1.363808510638297999e-01 9.128885933622386817e-02
3.020000000000000000e+02 1.361914893617021949e-01 9.056575647457484890e-02
3.030000000000000000e+02 1.342106382978723866e-01 8.984838134084710548e-02
3.040000000000000000e+02 1.370297872340425771e-01 8.913668856546899666e-02
3.050000000000000000e+02 1.350723404255320115e-01 8.843063313824303662e-02
3.060000000000000000e+02 1.384893617021276946e-01 8.773017040549942192e-02
3.070000000000000000e+02 1.357638297872340305e-01 8.703525606727194330e-02
3.080000000000000000e+02 1.320042553191489165e-01 8.634584617449626853e-02
3.090000000000000000e+02 1.336680851063829500e-01 8.566189712623042962e-02
3.100000000000000000e+02 1.319936170212765714e-01 8.498336566689733418e-02
3.110000000000000000e+02 1.272765957446808371e-01 8.431020888354913423e-02
3.120000000000000000e+02 1.270872340425532043e-01 8.364238420315323053e-02
3.130000000000000000e+02 1.266787234042552890e-01 8.297984938989975967e-02
3.140000000000000000e+02 1.223361702127658962e-01 8.232256254253050853e-02
3.150000000000000000e+02 1.198893617021276614e-01 8.167048209168886741e-02
3.160000000000000000e+02 1.170297872340425455e-01 8.102356679729082189e-02
3.170000000000000000e+02 1.164234042553191351e-01 8.038177574591677532e-02
3.180000000000000000e+02 1.165319148936170418e-01 7.974506834822407686e-02
3.190000000000000000e+02 1.123404255319148948e-01 7.911340433637990832e-02
3.200000000000000000e+02 1.099617021276595996e-01 7.848674376151459908e-02
3.210000000000000000e+02 1.093340425531915128e-01 7.786504699119528583e-02
3.220000000000000000e+02 1.104276595744680817e-01 7.724827470691911224e-02
3.230000000000000000e+02 1.105872340425531897e-01 7.663638790162678738e-02
3.240000000000000000e+02 1.086510638297872450e-01 7.602934787723553134e-02
3.250000000000000000e+02 1.083702127659574577e-01 7.542711624219172739e-02
3.260000000000000000e+02 1.076191489361701947e-01 7.482965490904283645e-02
3.270000000000000000e+02 1.069957446808510876e-01 7.423692609202861559e-02
3.280000000000000000e+02 1.051425531914893935e-01 7.364889230469141845e-02
3.290000000000000000e+02 1.047127659574468295e-01 7.306551635750536955e-02
3.300000000000000000e+02 1.023170212765957404e-01 7.248676135552441224e-02
3.310000000000000000e+02 1.019106382978723496e-01 7.191259069604886978e-02
3.320000000000000000e+02 9.826170212765955592e-02 7.134296806631058863e-02
3.330000000000000000e+02 9.584255319148934915e-02 7.077785744117637279e-02
3.340000000000000000e+02 9.488936170212763921e-02 7.021722308086957021e-02
3.350000000000000000e+02 9.727446808510638310e-02 6.966102952870983911e-02
3.360000000000000000e+02 9.778936170212769452e-02 6.910924160887065015e-02
3.370000000000000000e+02 9.637021276595747477e-02 6.856182442415464928e-02
3.380000000000000000e+02 1.018553191489361964e-01 6.801874335378671477e-02
3.390000000000000000e+02 9.949148936170212898e-02 6.747996405122425045e-02
3.400000000000000000e+02 9.481063829787236830e-02 6.694545244198507605e-02
3.410000000000000000e+02 9.858936170212764805e-02 6.641517472149241486e-02
3.420000000000000000e+02 9.759361702127659910e-02 6.588909735293695114e-02
3.430000000000000000e+02 9.369148936170215713e-02 6.536718706515581845e-02
3.440000000000000000e+02 9.233829787234042186e-02 6.484941085052844945e-02
3.450000000000000000e+02 8.740425531914894353e-02 6.433573596288898189e-02
3.460000000000000000e+02 8.367446808510636824e-02 6.382612991545530412e-02
3.470000000000000000e+02 7.992553191489364106e-02 6.332056047877450411e-02
3.480000000000000000e+02 8.162340425531915133e-02 6.281899567868445833e-02
3.490000000000000000e+02 8.129361702127660405e-02 6.232140379429172705e-02
3.500000000000000000e+02 8.053191489361703759e-02 6.182775335596540911e-02
3.510000000000000000e+02 7.973404255319151146e-02 6.133801314334684507e-02
3.520000000000000000e+02 7.849574468085110390e-02 6.085215218337514109e-02
3.530000000000000000e+02 8.035106382978725315e-02 6.037013974832831920e-02
3.540000000000000000e+02 8.287872340425533890e-02 5.989194535387995511e-02
3.550000000000000000e+02 7.818085106382981209e-02 5.941753875717122046e-02
3.560000000000000000e+02 7.731914893617022888e-02 5.894688995489833633e-02
3.570000000000000000e+02 7.667234042553192075e-02 5.847996918141482037e-02
3.580000000000000000e+02 7.831063829787233976e-02 5.801674690684919394e-02
3.590000000000000000e+02 7.837021276595744490e-02 5.755719383523727473e-02
3.600000000000000000e+02 7.572765957446805918e-02 5.710128090266947121e-02
3.610000000000000000e+02 7.553829787234041249e-02 5.664897927545261419e-02
3.620000000000000000e+02 7.849361702127660712e-02 5.620026034828642242e-02
3.630000000000000000e+02 7.608510638297873163e-02 5.575509574245438721e-02
3.640000000000000000e+02 6.777659574468086756e-02 5.531345730402901367e-02
3.650000000000000000e+02 6.521702127659574633e-02 5.487531710209121033e-02
3.660000000000000000e+02 6.455531914893618273e-02 5.444064742696389653e-02
3.670000000000000000e+02 6.085744680851064292e-02 5.400942078845947375e-02
3.680000000000000000e+02 5.732127659574470097e-02 5.358160991414127189e-02
3.690000000000000000e+02 5.361276595744681600e-02 5.315718774759873450e-02
3.700000000000000000e+02 5.482553191489360905e-02 5.273612744673625286e-02
3.710000000000000000e+02 5.470851063829787475e-02 5.231840238207558641e-02
3.720000000000000000e+02 5.564893617021277744e-02 5.190398613507167525e-02
3.730000000000000000e+02 5.160212765957446907e-02 5.149285249644192097e-02
3.740000000000000000e+02 5.194042553191491329e-02 5.108497546450848498e-02
3.750000000000000000e+02 4.857021276595745174e-02 5.068032924355391627e-02
3.760000000000000000e+02 4.662765957446807913e-02 5.027888824218972735e-02
3.770000000000000000e+02 4.589361702127658926e-02 4.988062707173787635e-02
3.780000000000000000e+02 4.464255319148935364e-02 4.948552054462510702e-02
3.790000000000000000e+02 4.778510638297873980e-02 4.909354367278998682e-02
3.800000000000000000e+02 4.518723404255319681e-02 4.870467166610253223e-02
3.810000000000000000e+02 4.105531914893617573e-02 4.831887993079644894e-02
3.820000000000000000e+02 3.949574468085108314e-02 4.793614406791366772e-02
